Source,Name,Description
Wikipedia,Calocera cornea,"Calocera cornea is a jelly fungus that grows on decaying wood. It is a member of the Dacrymycetales, an order of fungi characterized by their unique ""tuning fork"" basidia.
Its yellow, finger-like, tapering basidiocarps are somewhat gelatinous in texture. In typical specimens the basidiocarps become up to 3 mm in diameter, and 2 cm in height. The hymenium covers the sides of the basidiocarps, each basidium producing and forcibly discharging only two basidiospores.
It is inedible. Calocera viscosa"
Mushroom Expert,Calocera cornea,"Ecology:Saprobic; growing scattered to gregariously on the deadwood of hardwoods (especially oaks), usually on sticks up to about 2 inches in diameter; summer and fall; originally described from Germany; widely distributed in Europe, North America, Central America, South America, Asia, and Oceania. The illustrated and described collections are from Illinois and North Carolina.
Fruiting Body: Cylindric, with a rounded to sharpened apex; occasionally shallowly forked near the tip; to about 18 mm high and 2 mm thick; surface bald and slick, orange to orangish yellow; apex often shriveling and turning orangish brown with age; flesh firm but gelatinous, yellow; base with a tiny pad of whitemycelium.
Odor: Not distinctive.
Spore Print: Whitish.
Microscopic Features:Spores7–10 x 3–4 µm; allantoid; smooth; 0–1-septate; hyaline inKOH.Basidiaand probasidia Y-shaped; 25–40 x 2–4 µm.Clamp connectionsnot found."
First Nature,Cantharellus guyanensis,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Cantharellus guyanensis,"Cantharellus guyanensis is a tropical South American species of mushroom-forming fungus in the chanterelle genus (Cantharellus), first described by Camille Montagne from French Guiana in 1854.
It has since also been found in Guyana, Suriname, Venezuela, and Brazil. The fruit bodies have a bright orange cap colour and occur in medium- to large-sized troops. C. guyanensis seems to prefer sand-rich soil and forms ectomycorrhiza with a putatively wide range of host trees and shrubs including Coccolo"
First Nature,Chlorociboria aeruginascens,"Phylum: Ascomycota - Class: Leotiomycetes - Order: Helotiales - Family: Insertae sedis (placement uncertain)
Distribution - Taxonomic History - Etymology - Identification - Reference Sources

The green-stained wood that is evidence of Green Elfcup, Chlorociboria aeruginascens, is a common sight, but the fruitbodies are seen only infrequently. This mainly winter-fruiting fungus is sometimes referred to as Green Cup fungus.
Wood infected with Chlorociboria fungi has long been used in such decorati"
Wikipedia,Chlorociboria aeruginascens,"Chlorociboria aeruginascens is a saprobic species of mushroom, commonly known as the blue stain, green elfcup or the green wood cup because of its characteristic small, green, saucer-shaped fruit bodies. Although the actual fruit bodies are infrequently seen, the green staining of wood caused by the fungus is more prevalent."
Mushroom Expert,Chlorociboria aeruginascens,"Ecology:Saprobicon well-decayed, barkless logs and sticks, including those of both hardwoods and conifers; evident as green-stained wood year-round, but the fruiting bodies typically appear in summer and fall; widely distributed in North America. The illustrated and described collections are from Ohio, Pennsylvania, and Québec.
Fruiting Body: Cup-shaped at first, becoming flattened or disc-shaped; 2-5 mm across; with a tiny stem (1-2 mm long) that may be central or somewhat off-center; upper surface bald, blue-green; undersurface similar.
Odor and Taste: Not distinctive.
Microscopic Features: Spores 6-8 x 1-2 µ; subfusiform to nearly cylindric; smooth; biguttulate with a small oil droplet near each end. Paraphyses filiform; 70-80 x 1 µ; apices subacute; hyaline. Terminal cells on excipular surface cylindric; often twisted or contorted; 1-1.5 µ wide; smooth."
First Nature,Chlorophyllum molybdites,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Chlorophyllum molybdites,"Chlorophyllum molybdites, commonly known as the green-spored parasol, false parasol, green-spored lepiota and vomiter, is a widespread mushroom. Poisonous and producing severe gastrointestinal symptoms of vomiting and diarrhea, it is commonly confused with the shaggy parasol (Chlorophyllum rhacodes) or shaggy mane (Coprinus comatus), and is the most commonly misidentified poisonous mushroom in North America. Its large size and similarity to the edible parasol mushroom (Macrolepiota procera), as "
Mushroom Expert,Chlorophyllum molybdites,"Ecology:Saprobic; growing alone, scattered, or gregariously in lawns and meadows—often in troops orfairy rings; summer through fall; widely distributed in North America, but more common from the Great Plains eastward. The illustrated and described collections are from Illinois.
Cap: 10–22 cm; convex to spherical when young, becoming broadly convex or nearly flat in age; dry; bald in the button stage, but soon becoming scaly with brown to pinkish brown  or tan scales that are uplifted or flat, and concentrated near the center; surface underneath scales finely fibrillose, whitish to pale tan.
Gills: Free from the stem or slightly attached to it; crowded;short gillsfrequent; white when young, becoming grayish green to brownish green as the spores mature.
Stem: 8–20 cm long; 1.5–3 cm thick; tapered slightly to apex, and slightly enlarged toward base; dry; bald or very finely fibrillose; firm; white to brownish; discoloring slightly brown on handling; with a persisting, whitishringthat features a greenish to brownish lower edge.
Flesh: White throughout; not staining when sliced, or staining reddish brown to pale pinkish red in the base; thick.
Odor and Taste: Not distinctive.
Chemical Reactions:KOHnegative on cap surface.
Spore Print: Dull grayish green.
Microscopic Features:Spores9–13 x 6–9 µm; amygdaliform to ellipsoid; smooth; with a slightly truncated end; featuring a small (1 µm) pore; thick-walled; hyaline to faintly greenish inKOH;dextrinoid.Cheilocystidia40–55 x 10–15 µm; cylindric to subclavate or clavate; thin-walled; smooth; hyaline to brownish in KOH.Pleurocystidiaabsent.Pileipellisa trichoderm (center of cap, or scales) or cutis (whitish, fibrillose surface)."
First Nature,Clathrus columnatus,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Clathrus columnatus,"Clathrus columnatus, commonly known as the column stinkhorn, is a saprobic species of basidiomycete fungus in the family Phallaceae. Similar to other stinkhorn fungi, the fruiting body, known as the receptaculum, starts out as a subterranean ""egg"" form. As the fungus develops, the receptaculum expands and erupts out of the protective volva, ultimately developing into mature structures characterized by two to five long vertical orange or red spongy columns, joined at the apex. The fully grown rec"
Mushroom Expert,Clathrus columnatus,"Ecology:Saprobic; growing alone or gregariously; often near woody debris (sometimes directly from stumps or living trees) in lawns, gardens, cultivated soil, and so on; spring through fall, or over winter in warm climates; distributed in North America from roughly Pennsylvania to the Gulf Coast and Mexico; also found in the Caribbean, Central America, and South America. The illustrated and described collections are from Arkansas, Florida, Illinois, Louisiana, Texas, and Virginia.
Immature Fruiting Body: Like a whitish ""egg"" 2–3 cm high; when sliced revealing the red to orange stinkhorn-to-be encased in a brownish gelatinous substance.
Mature Fruiting Body: 5–12 cm high; 2–4 cm wide; consisting of 3–5 column-like arms arising separately (not from a shared stem structure) and joined seamlessly at the apex; arms arising from a whitevolva; base attached to whiterhizomorphs.
Arms: Up to about 1 cm thick; more or less equal; sometimes becoming flattened on the outer edge; hollow; spongy and soft; finely pocketed; orange to red, fading to pinkish or pinkish orange or nearly yellow.
Volva: Sac-like, encasing the base of the fruiting body; white.
Spore Slime: Brown; produced on the inner edges of the arms near or just below the apex of the stinkhorn; malodorous.
Microscopic Features:Spores3.5–4.5 x 1.5–2 µm; subellipsoid to cylindric; smooth; hyaline to faintly yellowish inKOHandMelzer's reagent; walls not cyanophilic; often with one small droplet near each end. Sphaerocysts of the branch context 16–56 µm across; subglobose to irregular; smooth; walls 0.5–1 µm thick; hyaline in KOH.Volvalhyphaeinterwoven; occasionally branching; 2–8 µm wide; smooth; thin-walled; hyaline in KOH;clamp connectionsnot found."
First Nature,Clavaria fragilis,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Clavariales - Family: Clavariaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

Simple, unbranched clubs but often in bunches, like eels with their tails twisting upwards as they fight over a morsel buried in a riverbed, White Spindles is the most common of the many fairy clubs and corals that pop up in unimproved grassland. (Their worm-like appearance is reflected in the synonym Clavari"
Wikipedia,Clavaria fragilis,"Clavaria fragilis, commonly known as fairy fingers, white worm coral, or white spindles, is a species of fungus in the family Clavariaceae. It is synonymous with Clavaria vermicularis. The fungus is the type species of the genus Clavaria and is a typical member of the clavarioid or club fungi. It produces tubular, unbranched, white basidiocarps (fruit bodies) that typically grow in clusters. The fruit bodies can reach dimensions of 15 cm (6 in) tall by 0.5 cm (1⁄4 in) thick. There are several si"
First Nature,Clavaria zollingeri,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agarcales - Family: Clavariaceae
Distribution - Taxonomic History - Etymology - Identification - Reference Sources

This beautiful violet coral-like fungus is found only very occasionally. The dichotomously branching fruitbodies can be up to 10cm tall and are initially violet but become dull grey-brown when old. It is an inedible species and is so rare that it should not be gathered except for important research.

Rare in Brtain and Ireland,"
Wikipedia,Clavaria zollingeri,"Clavaria zollingeri, commonly known as the violet coral or the magenta coral, is a widely distributed species of fungus. It produces striking tubular, purple to pinkish-violet fruit bodies that grow up to 10 cm (3.9 in) tall and 7 cm (2.8 in) wide. The extreme tips of the fragile, slender branches are usually rounded and brownish. A typical member of the clavarioid or club fungi, Clavaria zollingeri is saprobic, and so derives nutrients by breaking down organic matter. The fruit bodies are typic"
Mushroom Expert,Clavaria zollingeri,"Ecology:Saprobic; almost always found in moss under hardwoods; growing alone or in groups; summer and fall; eastern North America.
Fruiting Body: 2-10 cm high; individual elements usually sharing a common base, branching frequently or only occasionally, 2-6 mm wide; surface purple to pinkish purple, fading somewhat; tips rounded or irregular; base whitish.
Flesh: Brittle; purplish; thin.
Odor and Taste: Not distinctive or mildly radishlike.
Spore Print: White.
Chemical Reactions: Irons salts negative on all surfaces.
Microscopic Features: Spores 4-7 x 3-5.5 µ; ellipsoid; smooth; with an apiculus; inamyloid. Basidia clavate; 30-60 x 5-9 µ; 4-sterigmate; not basally clamped. Clamp connections absent."
First Nature,Coprinellus disseminatus,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agaricales - Family: Psathyrellaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

The Fairy Inkcap, Coprinellus disseminatus, rarely ventures forth alone or even with just a few friends; more often it forms dense masses swarming over rotting tree stumps and roots.
These gregarious little fungi occur from early spring until the onset of winter, and they are at their most spectacular when"
Wikipedia,Coprinellus disseminatus,"Coprinellus disseminatus, formerly known as Coprinus disseminatus and commonly known as the fairy inkcap, fairy bonnet, or trooping crumble cap, is a species of agaric fungus in the family Psathyrellaceae. Unlike most other coprinoid mushrooms, C. disseminatus does not dissolve into black ink (deliquesce) in maturity. The species was given its current name in 1939 by Jakob Emanuel Lange."
Mushroom Expert,Coprinellus disseminatus,"Ecology:Saprobic, growing in clusters, often by the hundreds; on decaying wood, especially near the bases of stumps; spring, summer, and fall; widely distributed in North America.
Cap: Minute to 2 cm; oval when young, expanding to broadly convex or bell-shaped; when young almost white, with a brownish center--or grayish--darkening to grayish or grayish brown with a brownish center, paler towards the margin; smooth, or very finely granular/hairy when young; lined or grooved from the margin nearly to the center.
Gills: Attached to the stem or free from it; white at first, but soon gray, then blackish; not deliquescing (turning to black ""ink""); close or almost distant.
Stem: 1.5-4 cm long; 1-2 mm thick; equal; smooth; often curved; white; hollow.
Flesh: Very thin; fragile.
Odor and Taste: Not distinctive.
Spore Print: Black or blackish brown.
Microscopic Features: Spores 6.5-10 x 4-6 µ; elliptical; smooth; with a central pore. Basidia 4-sterigmate, surrounded by 4-6 brachybasidia. Cheilocystidia cylindric, to 70 x 15 «. Pleurocystidia absent. Pileipellis an epithelium with lageniform to subcapitate, thin-walled  pileocystidia up to 200 µ long. Veil elements as more or less globose sphaerocysts up to 40 µ across. Clamp connections absent."
First Nature,Cordyceps militaris,"Phylum: Ascomycota - Class: Sordariomycetes - Order: Hypocreales - Family: Cordycipitaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

The Scarlet Caterpillarclub is found mainly in grassland and on woodland edges but also occasionally pushing up through bare soil during late summer and autumn. Growing on underground pupae of moths, this ascomycete parasitises its host, turning it into a mushy mess and then pushing up through the turf as a"
Wikipedia,Cordyceps militaris,"Cordyceps militaris, commonly known as the caterpillar fungus, is a species of fungus in the family Cordycipitaceae, and the type species of the genus Cordyceps, which consists of hundreds of species. The species was originally described by Carl Linnaeus in 1753 as Clavaria militaris. Cordyceps militaris parasitizes insects and is used in traditional Chinese medicine and modern pharmaceuticals."
Mushroom Expert,Cordyceps militaris,"Ecology:Parasiticon buried larvae and pupae of insects (primarily moths and butterflies); growing alone or gregariously; summer and fall; widely distributed in North America but apparently more common east of the Rocky Mountains.
Fruiting Body: 2-8 cm long; up to about .5 cm wide; club-shaped, with the top wider than the base; the upper portion orange and pimply, the lower portion smooth and orange to pale orange, often curved; narrowing at the base and arising from the buried pupa or larva; flesh pale watery orange, with an outer cortex.
Microscopic Features:Peritheciaembedded in a layer of loosely interwoven cells; sometimes appearing half-embedded or superficial. Asci 300-510 x 3.5-5 µ, with caps 3.5-5 µ thick. Spores segmented and threadlike; breaking into elliptical segments 2-4.5 x 1-1.5 µ."
First Nature,Cyptotrama asprata,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Cyptotrama asprata,"Cyptotrama asprata (alternatively spelled aspratum), commonly known as the golden-scruffy collybia or spiny woodknight  is a saprobic species of mushroom in the family Physalacriaceae. Widely distributed in tropical regions of the world, it is characterized by the bright orange to yellow cap that in young specimens is covered with tufts of fibrils resembling small spikes. This fungus has had a varied taxonomical history, having been placed in fourteen genera before finally settling in Cyptotrama"
Mushroom Expert,Cyptotrama asprata,"Ecology:Saprobic; growing scattered to gregariously on deadwood of hardwoods or conifers; summer, or over winter in warmer climates; widely distributed in eastern North America, and also reported from Texas and the Southwest. The illustrated and described collections are from Ohio and Québec.
Cap: 9-20 mm; convex, becoming broadly convex or nearly flat; dry; granular dusted when young, remaining granular or becoming nearly bald with age; bright yellow to orangish yellow or dull yellow, darkening to brownish yellow with age; the margin sometimes becoming widely lined at maturity; the disc sometimes becoming wrinkled or nearly reticulate with age.
Gills: Broadly attached to the stem or beginning to run down it; distant; white; short-gills occasional.
Stem: 10-40 mm long; 1-3 mm thick; more or less equal above, or tapering to base;  often with a slight basal swelling; finely granular; dry; colored like the cap, or more pale.
Flesh: Whitish to yellowish; not changing when sliced.
Odor and Taste: Not distinctive.
Chemical Reactions: KOH pink on cap surface.
Spore Print: White.
Microscopic Features: Spores 7-11 x 6-7 µ; limoniform to sublacrymoid; smooth; hyaline in KOH; not cyanophilic; inamyloid. Cheilocystidia cylindric to subfusiform, with subcapitate or merely rounded apices; thin-walled; hyaline in KOH; 35-85 x 5-10 µ. Pleurocystidia scattered; similar to cheilocystidia, or more widely fusiform. Lamellar trama divergent. Pileipellis hymeniform (a turf of clavate to pyriform elements); elements thin- or thick-walled, golden in KOH, interspersed with scattered fusiform pileocystidia."
First Nature,Dacryopinax spathularia,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Dacryopinax spathularia,"Dacrymyces spathularia is a species of fungus in the family Dacrymycetaceae. Basidiocarps (fruit bodies) are gelatinous, frequently spathulate (spoon-shaped), and grow on wood, mainly in the tropics and subtropics. The fungus is edible and is commercially cultivated for use as an additive in the food industry."
First Nature,Geastrum pectinatum,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Geastrales - Family: Geastraceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

The Beaked Earthstar (also referred to in some field guides as the Beret Earthstar) is rarely seen for two reasons: it is rare, and it is very easy to miss because it blends in so well with fallen leaves and other dead vegetation in coniferous or broadleaf woodland, which is where this earthstar generally occur"
Wikipedia,Geastrum pectinatum,"Geastrum pectinatum is an inedible species of mushroom belonging to the earthstar family of fungi. Although young specimens are spherical, fruit body development involves the outer layer of tissue splitting open like a star into 7 to 10 pointed rays that eventually bend back to point downward, revealing a small – 1 to 2.5 cm (1⁄2 to 1 in) broad – spore sac. The spore sac is supported by a small radially wrinkled stalk.  There is a distinct conical opening (peristome) at the top of the spore sac "
First Nature,Geastrum triplex,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Geastrales - Family: Geastraceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

Look in woodland for this member of the (hopelessly jumbled, taxonomically, but useful from an identification point of view) gastromycetes group of fungi. Collared Earthstars are most often found under hardwood trees, but we have also found them in coniferous woodland, particularly with firs and spruces.

If yo"
Wikipedia,Geastrum triplex,"Geastrum triplex is a fungus found in the detritus and leaf litter of hardwood forests around the world. It is commonly known as the collared earthstar, the saucered earthstar, or the triple earthstar—and less commonly by the alternative species name Geastrum indicum. It is the largest member of the genus Geastrum (or earthstar fungi) and expanded mature specimens can reach a tip-to-tip length of up to 12 centimeters (4+3⁄4 in).
Immature fruit bodies are spherical—somewhat resembling puffballs w"
Mushroom Expert,Geastrum triplex,"Ecology:Saprobic; growing alone or gregariously under hardwoods; summer and fall (over winter in warmer climates); widely distributed in North America.
Fruiting Body: At first a smooth, egg-shaped ball with a prominent pointed beak, 1-5 cm wide, attached to the substrate by a point at the base; with maturity the outer skin peeling back to form 4-8 more or less triangular, buff colored, non-hygroscopic arms that are thick and usually develop fissures and cracks, frequently splitting to form a saucer; spore case more or less round, smooth, brownish, with a fuzzy conical beak that is often surrounded by a pale area; 5-10 cm across when arms are opened; interior of spore case initially solid and white but soon powdery and brown.
Microscopic Features: Spores 3.5-4.5 µ; round; spiny; brownish to cinnamon in KOH. Capillitial threads 3-6 µ wide; yellowish in KOH; incrusted."
First Nature,Hexagonia hydnoides,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Hexagonia hydnoides,"Hexagonia hydnoides, also known as the hairy hexagonia, is a widely distributed species of bracket fungus in the Polyporaceae family. The name comes from the species' distinctive dark hairy bristles found on the cap - hydnoides meaning 'relating to Hydnum,' a genus of toothed fungi. In general, it is known to grow in tropical regions across the globe and to grow on dead wood tissues, particularly that of hardwoods. It is a plant pathogen. This fungus is largely saprophytic, decaying dead wood ti"
Mushroom Expert,Hexagonia hydnoides,"Ecology:Saprobic; growing alone or gregariously on the deadwood of hardwoods; causing a white rot; appearing year-round; widely distributed from the southern United States through South America. The illustrated and described collection is from southern Missouri.
Cap: 5–10 cm across; 4–7 cm deep; thin; irregularly semicircular; convex or nearly flat; densely hairy with dark brown to black hairs (but reportedly sometimes losing the hairs and becoming more or less bald with old age); faintly zoned, especially toward the margin; surface underneath hairs brown to dark brown.
Pore Surface: Brown to dark brown; not bruising; with 3–4 slightly angular pores per mm; tubes 2–6 mm deep.
Stem: Absent.
Flesh: Rusty brown; not changing when sliced.
Odor: Not distinctive.
Chemical Reactions: KOH black on flesh and tubes.
Spore Print: Not documented.
Microscopic Features: Spores not found in the collection examined; reported by Gilbertson & Ryvarden (1986) as ""cylindrical, hyaline and thin-walled, 11–14.5 x 3.5–5 µm."" Setae, cystidia not found. Hyphal system trimitic. Clamp connections present in generative hyphae."
First Nature,Hypholoma fasciculare,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agaricales - Family: Strophariaceae
Distribution - Taxonomic History - Etymology - Toxicity - Poisoning - Identification - Reference Sources

From April through to the first heavy frosts, a walk in mixed woodland rarely fails to reveal Sulphur Tufts fruiting on fallen trees, decaying stumps or, occasionally, hollow trunks of living trees.
This wood-rotting fungus is not a fussy feeder it tackles deciduous hardwoods as well as conifers appare"
Wikipedia,Hypholoma fasciculare,"Hypholoma fasciculare, commonly known as the sulphur tuft or clustered woodlover,  is a common woodland mushroom, often in evidence when hardly any other mushrooms are to be found. This saprotrophic small gill fungus grows prolifically in large clumps on stumps, dead roots or rotting trunks of broadleaved trees.
The ""sulphur tuft"" is bitter and poisonous; consuming it can cause vomiting, diarrhea and convulsions. The toxins are steroids known as fasciculols and have been shown to be calmodulin i"
Mushroom Expert,Hypholoma fasciculare,"Ecology:Saprobic; growing in clusters on decaying logs and stumps of conifers and, rarely, hardwoods; fall and winter, sometimes in spring; widely distributed in North America, but more common along the West Coast and in montane or northern areas. The illustrated and described collections are from California, Colorado, and Illinois.
Cap: 2-5 cm; convex, becoming broadly convex or nearly flat; bald; dry; when young often tawny reddish brown or orange, but usually becoming bright yellow to greenish yellow or golden yellow, with a darker center; the margin often featuring small, wispypartial veilfragments.
Gills: Attached to the stem or pulling away from it; close or crowded; yellow, becoming olive or greenish yellow, and eventually dusted with spores and therefore spotted purplish brown to blackish; short-gills frequent.
Stem: 3-10 cm long; 4-10 mm thick; more or less equal, or tapering to base; bright yellow to tawny; developing rusty brown stains from the base upwards; a bright yellowcortinapresent in buttons, but soon disappearing or leaving a faintring zone.
Flesh: Thin, yellow.
Odor and Taste: Odor not distinctive; taste bitter.
Spore Print: Purple brown.
Microscopic Features: Spores: 5-8 x 3-4.5 µ; ellipsoid; smooth; thin-walled; with a pore; yellowish in KOH. Pleuro-chrysocystidia fusoid-ventricose to mucronate; to 40 x 10 µ. Pileipellis a cutis or ixocutis; elements encrusted."
First Nature,Irpex lacteus,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Irpex lacteus,"Irpex lacteus is a common crust fungus distributed throughout temperate areas of the world. It is the type of the genus Irpex. Irpex lacteus is considered a polypore, but depending on growth conditions it can also produce a hydnoid hymenophore. Due to this variability and abundance of the species it has been described as a new species to science numerous times and subsequently has an extensive synonymy. The complete genome sequence of Irpex lacteus was reported in 2017.
Irpex lacteus is a white-"
Mushroom Expert,Irpex lacteus,"Ecology:Saprobic; spreading across the bottoms and sides of fallen hardwood logs (occasionally on the wood of conifers); annual; causing a white rot of the sapwood and rarely the heartwood; occasionally reported asparasiticon the living wood of cherry trees; appearing year-round; widely distributed in North America but rare or absent in the Southwest.
Fruiting Body: A spreading patch of whitish pore surface with 2-3 pores per mm, soon becoming tooth-like rather than poroid, except near the margin; developing shelflike edges or even caps when growing on the sides of logs; caps when present kidney-shaped to irregular, with a whitish to grayish (often zoned), velvety to hairy upper surface; flesh thin, whitish, and tough; without a stem.
Chemical Reactions: All parts brownish orange with KOH.
Spore Print: White.
Microscopic Features: Spores 5-7 x 2-3 µ; smooth; elliptical to subcylindric; hyaline in KOH; inamyloid. Cystidia conspicuous; abundant to scattered; 50-110 x 5-10 µ; encrusted apically or over nearly the whole length. Thin-walled generative hyphae frequently branching; 2-4 µ wide. Thick-walled skeletal hyphae rarely branching; 2.5-6 µ wide. Clamp connections absent."
First Nature,Kretzschmaria deusta,"Phylum: Ascomycota - Class: Sordariomycetes - Order: Xylariales - Family: Xylariaceae
Distribution - Taxonomic History - Etymology - Identification - Reference Sources

Kretzschmaria deusta, commonly called the Brittle Cinder fungus, is a seriously worrying plant pathogen, as the many articles in forestry publications confirm. This ascomycete causes soft rot by consuming both cellulose and lignin.
Brittle Cinder fungus is common throughout Britain and Ireland. It can also be found in most temper"
Wikipedia,Kretzschmaria deusta,"Kretzschmaria deusta, commonly known as brittle cinder, is a fungus and plant pathogen found in temperate regions."
